idx,ixoneId,BrandName,GlutenFreeYN,KosherYN,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,UsageInstructions,Website,UPC12,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerPhoneNumberPackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,HasPanel,HasSupplementPanel,HasNutritionPanel,generalFactPanels,ProcessedOnEquipment,DoesNotContain,NonGMOYN,OrganicYN,VeganYN,WholeGrainYN,UnitCount,CookingInstructions,QRCode,SocialMedia,ManufacturerNamePackaging,ProcessedManufacturedInFacilityStatement,FreeOf,Contains,SugarSweetener,CertifiedBCorporation,ConsumerStorage,ManufacturerStreetPackaging,Allergens,DistributedBy,SocialMediaAddresses,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,UseOrFreezeBy,TertiarySize,TertiarySizeUOM,Process,HalalYN,Grade,CrueltyFreeYN,FairTradeYN,PaleoYN,KetoYN,PlantBasedDerivedClaim,BioengineeredYN,HeartHealthyYN,InstructionsAncillary
89,SNL654130,0.00,,,100,8.34,100,46.95,100,100,100.00,100.00,,100,0,,,100,,100,100,100,100,100,93.25,,71.74,,,,,,,100,,100,,,100.00,,,100,,100,,,,,,,0,,,,,100,,,,,,,,
90,SNL425393,32.47,,,100,100.00,100,36.66,100,0.00,100.00,0,57.79,100.00,100,,,100,100.00,100,100,100,100,100,,,,,100.00,,,,,,32.47,56.60,,,,,,,100.00,,,,,,,,,,,,,,,100.00,,,,,,NaN
91,SNL659179,100,100.00,,100,7.66,100,13.79,100,100,72.51,72.51,,100,0,,,100,,100,100,100,100,100,94.86,,100.00,,,,,,,,,100,,,41.42,77.72,,100,,,,,,,,100.00,,100,100,32.47,,100,,,,,,,,
92,SNL472619,38.75,100.00,,100,14.18,100,14.56,100,100,95.65,96.85,,,100,,,100,,100,100,100,100,100,94.59,,100.00,,,,,,53.05,,,71.74,,,,,,100,100,100,,,,,,,,,,100.00,,,,,,,,,,
93,SNL688999,100,100.00,,100,48.29,100,0.00,100,100,,,92.18,100,100,,,100,,100,100,100,100,100,94.85,,,100.00,,100.00,,100,,100,,71.74,,100,,,,,100,,,,,,,,,,,,,,,,,,,,,
94,SNL689326,100,,,100,100.00,100,17.99,100,0.00,86.92,86.92,,NaN,0,100.00,100.00,,,,,100,100,100,94.99,,,,,100.00,,,,,,,,100,,,,100,,100,100.00,,,,,,,100,100,,,,,,,,100.00,,,
95,SNL637040,100,,,100,0.00,100,30.99,100,100,94.42,94.42,,100,100,,,,,,,100,100,100,93.88,,95.62,,,,100.00,100,81.75,100,100,,,,0.00,NaN,,,,,100.00,82.44,,,,,,,,,,,,,,,,,100.00,
96,SNL252267,100,,,100,7.66,100,71.74,100,100,87.23,87.23,,100,100,100.00,100.00,,,,,100,100,100,92.47,,,100.00,100.00,100.00,,,,,,,,100,,100.00,,96.23,,100,100,,,,,,100.00,,,,,,,,,,,,,
97,SNL748385,51.10,,,100,100.00,100,51.10,100,100,100.00,100.00,,100,100,100.00,100.00,,,,,100,100,100,94.87,100,,,,,,,,,76.53,,100.00,,,,,,,100.00,76.53,,,,,,,,,,,,,,,,,,,
98,SNL463323,100,,,100,0.00,100,51.10,100,100,,,,100,0,,,,,,,0.00,100,100,,,100.00,,100.00,,,,,,51.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SNL657669,100,100.00,,0,100.00,0,43.67,0,0,100.00,100.00,,54.05,0,100.00,58.57,,,,,100,100,100,94.24,100.00,100.00,,,,,,,,42.23,,100.00,,100.00,60.75,,96.23,,100.00,100.00,,,,,,,,,100.00,,,,,,100.00,,,,
100,SNL745854,100,100.00,,100,71.74,100,32.89,100,100,,,76.53,75.81,0,,,100,100,100,100,100,100,100,97.98,,,,,,,100,,100,,35.20,,100,NaN,,,,100,,,,,,,,,,,,,,,,100.00,100.00,,,,
,,81.39620000000002,100,100,88,81.04080000000002,87.62886597938144,45.122600000000006,87.5,83.33333333333333,94.3321978021978,92.57164835164836,68.21294117647058,92.735,44,93.7609375,90.6590625,98.21428571428571,88.88888888888889,96.29629629629629,98.18181818181819,96,100,98,93.0378494623656,45.45454545454545,92.34714285714286,100,100,100,100,75,79.84153846153845,94.28571428571429,51.46476190476191,76.87907407407404,42.88545454545454,80.94576923076923,81.88225806451612,74.26733333333333,100,90.43893333333331,95.83333333333333,95.73553571428572,91.65069767441861,81.57857142857142,100,100,100,100,41.946666666666665,53.84615384615385,53.84615384615385,73.58555555555557,100,100,100,100,100,100,100,100,100,NaN
